Date,NAV,Fund,Fund_Type
27-05-2025 00:00,168.2828,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
26-05-2025 00:00,168.9807,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-05-2025 00:00,168.2055,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
22-05-2025 00:00,166.9295,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
21-05-2025 00:00,167.9184,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
20-05-2025 00:00,167.2841,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
19-05-2025 00:00,169.0325,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-05-2025 00:00,169.0594,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
15-05-2025 00:00,168.7458,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
14-05-2025 00:00,166.9762,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-05-2025 00:00,166.4406,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
12-05-2025 00:00,167.6767,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
09-05-2025 00:00,162.5269,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
08-05-2025 00:00,163.7141,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-05-2025 00:00,165.1246,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
06-05-2025 00:00,164.7367,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
05-05-2025 00:00,166.1504,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
02-05-2025 00:00,165.4239,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
30-04-2025 00:00,165.6092,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
29-04-2025 00:00,165.9491,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-04-2025 00:00,166.1557,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-04-2025 00:00,163.9908,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-04-2025 00:00,166.0196,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
23-04-2025 00:00,166.4698,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
22-04-2025 00:00,165.8492,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
21-04-2025 00:00,165.3327,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-04-2025 00:00,163.2202,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
16-04-2025 00:00,160.6871,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
15-04-2025 00:00,159.3655,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
11-04-2025 00:00,156.3456,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
09-04-2025 00:00,154.0564,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
08-04-2025 00:00,154.4694,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
07-04-2025 00:00,152.5413,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
04-04-2025 00:00,156.2872,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
03-04-2025 00:00,158.6667,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
02-04-2025 00:00,158.429,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
01-04-2025 00:00,157.3212,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
31-03-2025 00:00,159.0055,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
28-03-2025 00:00,159.0075,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
27-03-2025 00:00,159.2891,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
26-03-2025 00:00,158.4241,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
25-03-2025 00:00,159.6656,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
24-03-2025 00:00,159.9956,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
21-03-2025 00:00,157.7308,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
20-03-2025 00:00,156.1904,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
19-03-2025 00:00,154.8677,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
18-03-2025 00:00,153.8461,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
17-03-2025 00:00,151.4236,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
13-03-2025 00:00,150.7178,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
12-03-2025 00:00,151.1191,ICICI Pru Passive Strategy Fund FOF Dir Gr,Domestic
